,Location,PercentBet_ML,Average_Line_ML,PercentBet_Spread,Average_Line_Spread,Average_Odds_Spread,PercentBet_OU,Average_Line_OU,Average_Odds_OU,Pts,Spread,Result,Total,Spread WL,Over/Under WL,MoneyLine WL
605,home,45.8,-147.6,53.4,-3.17,-107.0,41.1,219.0,-108.6,117,32,W,202,1,0,1
606,away,49.1,-142.6,48.7,-2.58,-106.83,63.5,216.08,-106.83,109,5,W,213,1,0,1
607,home,50.9,126.0,51.3,2.58,-108.17,36.5,216.08,-108.17,104,-5,L,213,0,0,0
608,away,66.7,657.5,45.7,12.0,-107.0,44.6,231.4,-106.8,94,-14,L,202,0,0,0
609,home,33.3,-908.75,54.3,-12.0,-107.0,55.4,231.4,-109.2,108,14,W,202,1,0,1
610,away,61.5,703.4,54.0,12.42,-108.83,61.0,227.5,-108.2,91,-26,L,208,0,0,0
611,home,38.5,-980.8,46.0,-12.42,-107.67,39.0,227.5,-107.8,117,26,W,208,1,0,1
612,away,92.0,-162.5,100.0,-3.4,-106.4,0.0,215.0,-108.25,101,10,W,192,1,0,1
613,home,8.0,142.5,0.0,3.4,-108.0,100.0,215.0,-106.75,91,-10,L,192,0,0,0
614,away,51.8,209.5,50.4,5.75,-109.25,62.5,216.5,-108.2,128,20,W,236,1,1,1
615,home,48.2,-242.0,49.6,-5.75,-105.75,37.5,216.5,-105.8,108,-20,L,236,0,1,0
616,away,60.8,974.0,42.9,14.75,-106.0,50.5,229.33,-107.83,113,-3,L,229,1,0,0
617,home,39.2,-1477.0,57.1,-14.75,-109.0,49.5,229.33,-107.17,116,3,W,229,0,0,1
618,away,51.6,163.4,47.2,4.5,-108.4,42.0,215.5,-111.2,89,-39,L,217,0,1,0
619,home,48.4,-182.2,52.8,-4.5,-107.6,58.0,215.5,-104.8,128,39,W,217,1,1,1
620,away,0.0,202.0,63.0,6.08,-108.83,57.4,241.33,-108.17,104,-21,L,229,0,0,0
621,home,100.0,-235.0,37.0,-6.08,-106.17,42.6,241.33,-106.83,125,21,W,229,1,0,1
622,away,61.0,796.8,43.1,12.7,-106.2,50.1,215.58,-106.67,83,-17,L,183,0,0,0
623,home,39.0,-1154.2,56.9,-12.7,-109.2,49.9,215.58,-108.33,100,17,W,183,1,0,1
624,away,46.3,387.4,45.1,10.0,-108.0,58.2,214.83,-106.67,112,-3,L,227,1,1,0
625,home,53.7,-480.6,54.9,-10.0,-106.0,41.8,214.83,-108.33,115,3,W,227,0,1,1
626,away,63.8,534.75,47.7,11.7,-108.2,56.7,229.0,-107.4,99,-16,L,214,0,0,0
627,home,36.2,-733.25,52.3,-11.7,-105.8,43.3,229.0,-108.6,115,16,W,214,1,0,1
628,away,63.4,355.4,50.5,9.5,-106.67,54.1,223.83,-107.0,128,-3,L,259,1,1,0
629,home,36.6,-432.4,49.5,-9.5,-108.33,45.9,223.83,-108.0,131,3,W,259,0,1,1
630,away,40.1,188.8,45.0,5.0,-107.33,54.3,219.83,-106.33,96,-8,L,200,0,0,0
631,home,59.9,-217.2,55.0,-5.0,-108.67,45.7,219.83,-108.67,104,8,W,200,1,0,1
632,away,46.4,-128.4,44.9,-2.08,-105.17,49.5,235.67,-106.0,133,12,W,254,1,1,1
633,home,53.6,112.2,55.1,2.08,-110.67,50.5,235.67,-109.0,121,-12,L,254,0,1,0
634,away,54.1,714.0,66.7,12.58,-109.0,0.0,206.75,-109.17,95,-33,L,223,0,1,0
635,home,45.9,-1005.0,33.3,-12.58,-106.0,100.0,206.75,-106.0,128,33,W,223,1,1,1
636,away,36.6,118.5,46.3,2.3,-108.0,53.7,217.83,-109.17,119,8,W,230,1,1,1
637,home,63.4,-134.0,53.7,-2.3,-106.0,46.3,217.83,-105.83,111,-8,L,230,0,1,0
638,away,51.3,335.6,49.5,8.5,-108.6,58.0,217.08,-106.5,88,-19,L,195,0,0,0
639,home,48.7,-409.4,50.5,-8.5,-105.8,42.0,217.08,-108.5,107,19,W,195,1,0,1
640,away,46.2,334.8,43.4,8.33,-107.17,51.7,234.0,-106.4,98,-25,L,221,0,0,0
641,home,53.8,-408.0,56.6,-8.33,-107.83,48.3,234.0,-109.6,123,25,W,221,1,0,1
642,away,57.3,-137.0,57.8,-2.5,-105.83,54.8,207.58,-107.17,131,6,W,256,1,1,1
643,home,42.7,120.4,42.2,2.5,-109.17,45.2,207.58,-107.83,125,-6,L,256,0,1,0
644,away,51.3,-149.2,50.6,-3.08,-105.33,50.7,228.25,-107.83,101,-5,L,207,0,0,0
645,home,48.7,132.4,49.4,3.08,-109.67,49.3,228.25,-107.17,106,5,W,207,1,0,1
646,away,57.8,760.4,48.4,12.9,-108.4,56.0,228.6,-107.6,109,-15,L,233,0,1,0
647,home,42.2,-1080.6,51.6,-12.9,-107.6,44.0,228.6,-106.4,124,15,W,233,1,1,1
648,away,54.7,-172.5,50.4,-3.17,-106.17,46.9,216.0,-107.83,136,31,W,241,1,1,1
649,home,45.3,155.0,49.6,3.17,-108.83,53.1,216.0,-107.17,105,-31,L,241,0,1,0
650,away,52.8,-182.0,56.6,-4.0,-107.5,50.6,215.75,-108.83,99,14,W,184,1,0,1
651,home,47.2,161.75,43.4,4.0,-108.17,49.4,215.75,-106.17,85,-14,L,184,0,0,0
652,away,51.7,154.4,53.1,3.83,-107.17,54.1,222.67,-108.0,103,-11,L,217,0,0,0
653,home,48.3,-171.8,46.9,-3.83,-107.83,45.9,222.67,-107.0,114,11,W,217,1,0,1
654,away,47.9,63.2,45.4,1.7,-106.6,56.7,214.08,-109.83,113,1,W,225,1,1,1
655,home,52.1,-119.4,54.6,-1.7,-109.4,43.3,214.08,-105.17,112,-1,L,225,0,1,0
656,away,48.4,-378.75,51.2,-8.4,-109.0,39.9,230.1,-106.0,134,-2,L,270,0,1,0
657,home,51.6,313.25,48.8,8.4,-107.0,60.1,230.1,-108.0,136,2,W,270,1,1,1
658,away,60.9,-192.8,61.7,-4.4,-106.6,57.9,228.7,-106.2,102,-9,L,213,0,0,0
659,home,39.1,169.2,38.3,4.4,-109.4,42.1,228.7,-107.8,111,9,W,213,1,0,1
660,away,46.5,-903.5,52.8,-12.17,-103.67,44.6,213.9,-107.4,106,11,W,201,0,0,1
661,home,53.5,643.5,47.2,12.17,-109.67,55.4,213.9,-108.6,95,-11,L,201,1,0,0
662,away,54.2,223.0,54.3,6.17,-110.0,59.6,227.67,-107.0,88,-14,L,190,0,0,0
663,home,45.8,-265.0,45.7,-6.17,-105.0,40.4,227.67,-108.0,102,14,W,190,1,0,1
664,away,56.1,837.0,42.3,13.1,-108.4,47.0,219.25,-107.67,105,-16,L,226,0,1,0
665,home,43.9,-1203.4,57.7,-13.1,-107.6,53.0,219.25,-107.33,121,16,W,226,1,1,1
666,away,54.1,105.25,51.5,1.67,-107.67,52.5,215.92,-107.83,118,9,W,227,1,1,1
667,home,45.9,-122.75,48.5,-1.67,-107.33,47.5,215.92,-107.17,109,-9,L,227,0,1,0
668,away,41.9,-120.5,47.1,-1.2,-108.4,61.5,224.42,-107.33,110,-1,L,221,0,0,0
669,home,58.1,105.25,52.9,1.2,-107.6,38.5,224.42,-107.67,111,1,W,221,1,0,1
670,away,40.8,574.6,52.3,11.42,-105.5,47.4,221.83,-107.33,96,-24,L,216,0,0,0
671,home,59.2,-774.4,47.7,-11.42,-109.5,52.6,221.83,-107.67,120,24,W,216,1,0,1
672,away,56.4,130.2,44.2,2.92,-107.67,42.2,232.75,-107.5,119,10,W,228,1,0,1
673,home,43.6,-147.0,55.8,-2.92,-107.33,57.8,232.75,-107.5,109,-10,L,228,0,0,0
674,away,44.9,-171.0,54.1,-3.92,-107.0,46.7,208.58,-109.33,100,-2,L,202,0,0,0
675,home,55.1,154.25,45.9,3.92,-108.0,53.3,208.58,-105.67,102,2,W,202,1,0,1
676,away,53.4,210.25,49.2,6.33,-109.5,55.3,212.08,-105.67,95,-8,L,198,0,0,0
677,home,46.6,-244.25,50.8,-6.33,-105.5,44.7,212.08,-109.33,103,8,W,198,1,0,1
678,away,41.0,-155.4,49.2,-2.83,-107.17,57.6,223.9,-108.6,110,-4,L,224,0,1,0
679,home,59.0,138.4,50.8,2.83,-107.83,42.4,223.9,-105.4,114,4,W,224,1,1,1
680,away,47.8,-109.5,55.5,-0.17,-107.33,62.6,217.5,-108.2,118,-13,L,249,0,1,0
681,home,52.2,-105.5,44.5,0.17,-108.33,37.4,217.5,-105.8,131,13,W,249,1,1,1
682,away,55.5,-134.6,55.7,-2.25,-105.17,46.1,218.25,-107.33,110,27,W,193,1,0,1
683,home,44.5,118.0,44.3,2.25,-110.17,53.9,218.25,-107.67,83,-27,L,193,0,0,0
684,away,52.8,-676.8,62.3,-10.75,-108.17,62.0,235.62,-106.25,128,17,W,239,1,1,1
685,home,47.2,513.6,37.7,10.75,-106.83,38.0,235.62,-108.75,111,-17,L,239,0,1,0
686,away,50.0,206.4,52.0,5.83,-107.5,52.2,210.9,-107.8,99,2,W,196,1,0,1
687,home,50.0,-239.4,48.0,-5.83,-107.5,47.8,210.9,-106.2,97,-2,L,196,0,0,0
688,away,52.4,-133.8,51.2,-2.0,-109.0,60.6,228.6,-109.0,110,3,W,217,1,0,1
689,home,47.6,117.4,48.8,2.0,-106.0,39.4,228.6,-107.0,107,-3,L,217,0,0,0
690,away,31.2,242.6,46.8,6.75,-106.5,44.4,218.8,-107.4,106,3,W,209,1,0,1
691,home,68.8,-284.6,53.2,-6.75,-108.5,55.6,218.8,-106.6,103,-3,L,209,0,0,0
692,away,56.9,-142.4,55.9,-2.42,-108.83,62.2,222.7,-106.8,91,-12,L,194,0,0,0
693,home,43.1,125.8,44.1,2.42,-106.17,37.8,222.7,-108.2,103,12,W,194,1,0,1
694,away,50.2,110.2,46.7,2.0,-108.17,40.7,235.0,-109.33,129,3,W,255,1,1,1
695,home,49.8,-126.6,53.3,-2.0,-108.67,59.3,235.0,-105.67,126,-3,L,255,0,1,0
696,away,43.9,302.8,57.9,8.17,-107.0,55.2,210.42,-108.33,90,-6,L,186,1,0,0
697,home,56.1,-359.2,42.1,-8.17,-108.0,44.8,210.42,-106.67,96,6,W,186,0,0,1
698,away,49.2,128.2,54.7,2.5,-104.2,56.0,207.9,-108.6,105,15,W,195,1,0,1
699,home,50.8,-145.0,45.3,-2.5,-110.8,44.0,207.9,-105.4,90,-15,L,195,0,0,0
700,away,52.1,50.5,49.5,1.17,-108.0,62.0,217.5,-112.0,102,-9,L,213,0,0,0
701,home,47.9,-118.0,50.5,-1.17,-107.0,38.0,217.5,-106.0,111,9,W,213,1,0,1
702,away,58.1,-218.25,58.1,-5.67,-107.5,50.1,223.7,-106.2,122,17,W,227,1,1,1
703,home,41.9,189.25,41.9,5.67,-107.5,49.9,223.7,-107.8,105,-17,L,227,0,1,0
704,away,58.6,276.25,51.5,7.5,-109.67,57.6,215.5,-108.25,105,-34,L,244,0,1,0
705,home,41.4,-322.75,48.5,-7.5,-105.33,42.4,215.5,-106.75,139,34,W,244,1,1,1
706,away,58.4,-800.6,63.7,-11.0,-107.8,50.3,219.75,-108.33,129,24,W,234,1,1,1
707,home,41.6,591.0,36.3,11.0,-106.2,49.7,219.75,-106.67,105,-24,L,234,0,1,0
708,away,55.6,-183.2,53.7,-4.6,-107.0,47.7,207.0,-105.67,124,6,W,242,1,1,1
709,home,44.4,163.4,46.3,4.6,-107.0,52.3,207.0,-109.33,118,-6,L,242,0,1,0
710,away,50.8,-156.0,48.2,-3.83,-106.83,42.9,229.25,-107.0,131,14,W,248,1,1,1
711,home,49.2,139.2,51.8,3.83,-109.33,57.1,229.25,-108.0,117,-14,L,248,0,1,0
712,away,56.7,-260.0,55.0,-6.4,-105.6,56.7,220.33,-109.17,114,2,W,226,0,1,1
713,home,43.3,223.4,45.0,6.4,-110.4,43.3,220.33,-105.83,112,-2,L,226,1,1,0
714,away,53.8,231.0,54.1,6.5,-106.6,54.2,229.0,-108.33,102,-11,L,215,0,0,0
715,home,46.2,-268.8,45.9,-6.5,-107.4,45.8,229.0,-106.67,113,11,W,215,1,0,1
716,away,42.3,114.4,40.2,1.83,-105.83,56.1,210.17,-106.33,86,-10,L,182,0,0,0
717,home,57.7,-130.8,59.8,-1.83,-109.17,43.9,210.17,-108.67,96,10,W,182,1,0,1
718,away,49.6,254.0,49.8,7.5,-111.4,45.0,225.83,-106.33,92,-23,L,207,0,0,0
719,home,50.4,-297.6,50.2,-7.5,-104.6,55.0,225.83,-108.67,115,23,W,207,1,0,1
720,away,40.6,169.8,50.4,4.5,-106.6,59.7,221.5,-112.0,104,-17,L,225,0,1,0
721,home,59.4,-192.6,49.6,-4.5,-107.4,40.3,221.5,-106.0,121,17,W,225,1,1,1
722,away,45.7,185.6,44.0,5.67,-107.67,55.2,226.67,-107.83,106,-26,L,238,0,1,0
723,home,54.3,-214.0,56.0,-5.67,-107.33,44.8,226.67,-107.17,132,26,W,238,1,1,1
724,away,48.7,295.6,50.1,7.58,-107.67,53.2,224.5,-107.2,113,-8,L,234,0,1,0
725,home,51.3,-352.6,49.9,-7.58,-107.33,46.8,224.5,-108.8,121,8,W,234,1,1,1
726,away,55.6,825.2,61.4,13.33,-108.67,49.4,218.33,-108.17,100,-28,L,228,0,1,0
727,home,44.4,-1202.8,38.6,-13.33,-106.33,50.6,218.33,-106.83,128,28,W,228,1,1,1
728,away,52.4,724.2,41.1,12.83,-108.0,52.8,211.33,-108.17,86,-22,L,194,0,0,0
729,home,47.6,-1014.4,58.9,-12.83,-107.83,47.2,211.33,-106.83,108,22,W,194,1,0,1
730,away,55.9,-1.25,50.1,1.25,-108.5,58.7,216.2,-110.0,91,-27,L,209,0,0,0
731,home,44.1,-113.75,49.9,-1.25,-106.5,41.3,216.2,-106.0,118,27,W,209,1,0,1
732,away,51.7,103.0,49.4,0.67,-105.0,63.6,218.25,-107.33,107,-6,L,220,0,1,0
733,home,48.3,-119.2,50.6,-0.67,-110.0,36.4,218.25,-107.67,113,6,W,220,1,1,1
734,away,47.7,117.4,47.1,1.67,-107.5,58.0,220.58,-109.67,117,6,W,228,1,1,1
735,home,52.3,-134.0,52.9,-1.67,-107.5,42.0,220.58,-105.33,111,-6,L,228,0,1,0
736,away,40.5,151.8,41.3,3.5,-106.67,51.0,206.42,-108.67,112,22,W,202,1,0,1
737,home,59.5,-169.0,58.7,-3.5,-108.67,49.0,206.42,-106.33,90,-22,L,202,0,0,0
738,away,56.5,-409.0,52.3,-8.75,-106.0,53.8,221.58,-107.17,105,-1,L,211,0,0,0
739,home,43.5,333.8,47.7,8.75,-109.83,46.2,221.58,-107.83,106,1,W,211,1,0,1
740,away,64.4,-148.0,62.4,-3.08,-107.17,62.6,222.5,-107.33,129,19,W,239,1,1,1
741,home,35.6,131.4,37.6,3.08,-107.83,37.4,222.5,-107.83,110,-19,L,239,0,1,0
742,away,58.0,-432.0,48.5,-8.67,-108.17,57.1,218.25,-106.83,112,-2,L,226,0,1,0
743,home,42.0,353.8,51.5,8.67,-106.83,42.9,218.25,-108.17,114,2,W,226,1,1,1
744,away,44.5,190.6,43.3,5.0,-106.0,57.2,214.58,-107.5,107,4,W,210,1,0,1
745,home,55.5,-219.0,56.7,-5.0,-109.0,42.8,214.58,-107.5,103,-4,L,210,0,0,0
746,away,54.0,-112.8,49.1,-0.67,-107.5,46.2,223.75,-108.0,120,-13,L,253,0,1,0
747,home,46.0,-23.2,50.9,0.67,-109.33,53.8,223.75,-107.0,133,13,W,253,1,1,1
748,away,50.3,-388.2,60.9,-8.33,-106.17,48.8,210.33,-106.67,115,17,W,213,1,1,1
749,home,49.7,322.4,39.1,8.33,-109.17,51.2,210.33,-108.33,98,-17,L,213,0,1,0
750,away,62.9,107.4,57.6,1.83,-110.17,59.8,241.33,-107.33,105,10,W,200,1,0,1
751,home,37.1,-123.8,42.4,-1.83,-104.83,40.2,241.33,-107.67,95,-10,L,200,0,0,0
752,away,52.2,-160.2,55.2,-3.42,-110.67,54.6,218.92,-109.33,104,-3,L,211,0,0,0
753,home,47.8,143.0,44.8,3.42,-105.0,45.4,218.92,-105.67,107,3,W,211,1,0,1
754,away,46.7,186.4,49.9,5.0,-108.67,49.8,222.67,-107.17,97,-10,L,204,0,0,0
755,home,53.3,-215.6,50.1,-5.0,-107.17,50.2,222.67,-107.83,107,10,W,204,1,0,1
756,away,56.6,-239.2,56.8,-6.17,-109.0,59.9,224.33,-108.67,98,-8,L,204,0,0,0
757,home,43.4,206.2,43.2,6.17,-106.0,40.1,224.33,-106.33,106,8,W,204,1,0,1
758,away,49.6,-320.0,59.1,-7.25,-107.67,51.9,217.17,-108.17,101,-15,L,217,0,0,0
759,home,50.4,270.4,40.9,7.25,-107.33,48.1,217.17,-106.83,116,15,W,217,1,0,1
760,away,46.5,108.4,44.6,2.0,-109.83,56.5,219.75,-109.33,112,8,W,216,1,0,1
761,home,53.5,-126.6,55.4,-2.0,-107.17,43.5,219.75,-107.33,104,-8,L,216,0,0,0
762,away,66.5,-357.0,63.4,-7.83,-111.17,42.6,214.42,-107.5,133,56,W,210,1,0,1
763,home,33.5,300.0,36.6,7.83,-105.33,57.4,214.42,-107.5,77,-56,L,210,0,0,0
764,away,48.2,117.6,47.0,2.42,-107.17,57.3,208.5,-108.67,111,23,W,199,1,0,1
765,home,51.8,-134.2,53.0,-2.42,-109.0,42.7,208.5,-106.33,88,-23,L,199,0,0,0
766,away,37.1,154.4,39.5,3.17,-107.0,61.2,220.5,-107.5,105,-8,L,218,0,0,0
767,home,62.9,-173.8,60.5,-3.17,-110.5,38.8,220.5,-109.17,113,8,W,218,1,0,1
768,away,45.1,442.0,45.5,9.42,-106.33,47.1,219.67,-107.5,121,23,W,219,1,0,1
769,home,54.9,-565.0,54.5,-9.42,-108.67,52.9,219.67,-107.5,98,-23,L,219,0,0,0
770,away,45.4,-135.4,48.9,-2.25,-106.67,54.3,224.83,-108.33,116,8,W,224,1,0,1
771,home,54.6,119.0,51.1,2.25,-110.17,45.7,224.83,-106.67,108,-8,L,224,0,0,0
772,away,45.2,176.2,44.0,5.08,-107.67,58.4,229.75,-108.33,104,5,W,203,1,0,1
773,home,54.8,-201.4,56.0,-5.08,-107.33,41.6,229.75,-106.67,99,-5,L,203,0,0,0
774,away,45.9,-241.0,51.7,-6.0,-106.2,57.1,225.25,-109.0,119,12,W,226,1,1,1
775,home,54.1,208.0,48.3,6.0,-107.8,42.9,225.25,-106.0,107,-12,L,226,0,1,0
776,away,46.4,-167.5,49.8,-3.58,-108.33,53.6,218.83,-107.67,97,-13,L,207,0,0,0
777,home,53.6,151.0,50.2,3.58,-106.67,46.4,218.83,-107.33,110,13,W,207,1,0,1
778,away,55.7,208.6,49.0,6.0,-107.33,43.6,216.38,-106.75,101,-8,L,210,0,0,0
779,home,44.3,-242.4,51.0,-6.0,-107.67,56.4,216.38,-110.75,109,8,W,210,1,0,1
780,away,46.3,586.4,47.0,10.92,-107.5,43.7,218.25,-108.5,102,-14,L,218,0,0,0
781,home,53.7,-797.0,53.0,-10.92,-107.5,56.3,218.25,-106.5,116,14,W,218,1,0,1
782,away,52.0,117.8,46.6,3.17,-107.0,41.8,224.17,-106.67,100,-13,L,213,0,0,0
783,home,48.0,-134.4,53.4,-3.17,-108.0,58.2,224.17,-108.33,113,13,W,213,1,0,1
784,away,54.0,-133.0,56.3,-2.08,-110.5,55.5,226.17,-107.83,108,19,W,197,1,0,1
785,home,46.0,116.6,43.7,2.08,-104.5,44.5,226.17,-107.17,89,-19,L,197,0,0,0
786,away,0.0,416.8,40.0,10.83,-109.17,3.1,218.08,-107.67,92,-16,L,200,0,0,0
787,home,100.0,-523.4,60.0,-10.83,-106.67,96.9,218.08,-107.33,108,16,W,200,1,0,1
788,away,44.9,173.25,46.2,5.0,-106.17,53.1,217.83,-107.67,113,-9,L,235,0,1,0
789,home,55.1,-197.0,53.8,-5.0,-108.83,46.9,217.83,-107.33,122,9,W,235,1,1,1
790,away,44.7,165.6,50.9,4.67,-106.83,53.1,210.58,-108.5,76,-25,L,177,0,0,0
791,home,55.3,-187.4,49.1,-4.67,-108.17,46.9,210.58,-106.5,101,25,W,177,1,0,1
792,away,41.6,144.2,48.6,2.83,-106.83,43.8,197.75,-107.17,99,-6,L,204,0,1,0
793,home,58.4,-161.2,51.4,-2.83,-108.17,56.2,197.75,-107.83,105,6,W,204,1,1,1
794,away,50.0,-519.0,49.7,-9.83,-106.17,57.1,222.6,-107.8,123,4,W,242,0,1,1
795,home,50.0,400.5,50.3,9.83,-109.67,42.9,222.6,-106.2,119,-4,L,242,1,1,0
796,away,48.6,407.2,46.3,9.67,-106.83,53.6,228.33,-108.33,108,-8,L,224,1,0,0
797,home,51.4,-516.0,53.7,-9.67,-108.17,46.4,228.33,-106.67,116,8,W,224,0,0,1
798,away,46.3,189.8,44.2,5.42,-108.33,57.3,221.42,-108.67,105,-3,L,213,1,0,0
799,home,53.7,-219.2,55.8,-5.42,-106.67,42.7,221.42,-106.33,108,3,W,213,0,0,1
800,away,62.0,208.0,54.0,6.17,-109.0,58.8,220.33,-108.5,104,-7,L,215,0,0,0
801,home,38.0,-241.2,46.0,-6.17,-106.0,41.2,220.33,-106.5,111,7,W,215,1,0,1
802,away,46.6,728.0,34.4,12.67,-106.67,45.0,216.75,-107.67,86,-25,L,197,0,0,0
803,home,53.4,-1028.8,65.6,-12.67,-108.33,55.0,216.75,-107.33,111,25,W,197,1,0,1
804,away,52.3,-156.5,55.8,-3.25,-109.67,49.1,220.42,-108.67,123,24,W,222,1,1,1
805,home,47.7,140.25,44.2,3.25,-105.33,50.9,220.42,-106.33,99,-24,L,222,0,1,0
806,away,52.2,197.8,42.9,5.58,-107.5,45.9,217.17,-107.83,107,-1,L,215,1,0,0
807,home,47.8,-229.6,57.1,-5.58,-107.5,54.1,217.17,-107.17,108,1,W,215,0,0,1
808,away,50.4,-114.8,60.7,-1.33,-108.33,61.4,215.0,-108.33,106,-7,L,219,0,1,0
809,home,49.6,-21.2,39.3,1.33,-106.67,38.6,215.0,-106.67,113,7,W,219,1,1,1
810,away,50.4,-130.4,54.5,-2.08,-109.5,49.9,218.83,-108.33,97,-16,L,210,0,0,0
811,home,49.6,114.0,45.5,2.08,-105.5,50.1,218.83,-106.67,113,16,W,210,1,0,1
812,away,35.2,219.8,47.2,6.4,-107.2,50.3,224.08,-107.83,127,3,W,251,1,1,1
813,home,64.8,-256.2,52.8,-6.4,-110.4,49.7,224.08,-107.17,124,-3,L,251,0,1,0
814,away,62.1,-175.75,62.4,-3.75,-109.5,54.1,220.5,-108.33,130,5,W,255,1,1,1
815,home,37.9,158.0,37.6,3.75,-105.5,45.9,220.5,-106.67,125,-5,L,255,0,1,0
816,away,50.0,139.2,46.9,3.17,-106.33,52.7,202.25,-109.5,83,-9,L,175,0,0,0
817,home,50.0,-156.0,53.1,-3.17,-108.67,47.3,202.25,-105.5,92,9,W,175,1,0,1
818,away,39.7,398.0,41.7,9.75,-105.33,58.6,225.5,-108.17,107,-7,L,221,1,0,0
819,home,60.3,-500.0,58.3,-9.75,-109.67,41.4,225.5,-106.83,114,7,W,221,0,0,1
820,away,40.9,326.2,44.0,8.25,-106.33,56.2,210.83,-106.83,84,-27,L,195,0,0,0
821,home,59.1,-395.4,56.0,-8.25,-108.67,43.8,210.83,-108.17,111,27,W,195,1,0,1
822,away,45.1,-146.8,49.4,-3.08,-108.5,46.7,226.92,-105.33,130,-11,L,271,0,1,0
823,home,54.9,86.0,50.6,3.08,-106.5,53.3,226.92,-109.67,141,11,W,271,1,1,1
824,away,36.2,298.4,38.1,7.7,-108.4,58.1,227.0,-107.2,113,20,W,206,1,0,1
825,home,63.8,-362.6,61.9,-7.7,-105.6,41.9,227.0,-106.8,93,-20,L,206,0,0,0
826,away,60.2,198.75,53.6,5.83,-106.83,58.1,225.42,-108.5,111,-15,L,237,0,1,0
827,home,39.8,-228.75,46.4,-5.83,-108.17,41.9,225.42,-106.5,126,15,W,237,1,1,1
828,away,39.5,134.4,39.2,2.83,-108.0,45.9,222.08,-107.83,87,-38,L,212,0,0,0
829,home,60.5,-151.2,60.8,-2.83,-107.0,54.1,222.08,-107.17,125,38,W,212,1,0,1
830,away,43.2,200.0,41.9,5.5,-108.5,39.8,212.2,-106.2,91,-6,L,188,0,0,0
831,home,56.8,-229.5,58.1,-5.5,-106.5,60.2,212.2,-107.8,97,6,W,188,1,0,1
832,away,53.0,-229.67,50.5,-6.17,-108.0,54.4,210.33,-106.67,89,-10,L,188,0,0,0
833,home,47.0,201.67,49.5,6.17,-107.0,45.6,210.33,-108.33,99,10,W,188,1,0,1
834,away,38.3,694.2,44.2,12.33,-107.0,46.7,222.17,-107.83,108,-21,L,237,0,1,0
835,home,61.7,-962.6,55.8,-12.33,-108.0,53.3,222.17,-107.17,129,21,W,237,1,1,1
836,away,57.3,432.4,53.7,10.08,-106.33,34.9,224.17,-107.5,126,2,W,250,1,1,1
837,home,42.7,-553.2,46.3,-10.08,-108.67,65.1,224.17,-107.5,124,-2,L,250,0,1,0
838,away,43.3,133.6,46.0,2.5,-107.0,50.4,224.58,-106.67,118,-7,L,243,0,1,0
839,home,56.7,-150.6,54.0,-2.5,-109.83,49.6,224.58,-108.33,125,7,W,243,1,1,1
840,away,55.4,-498.8,49.1,-9.67,-110.33,61.2,220.17,-107.17,114,12,W,216,1,0,1
841,home,44.6,397.6,50.9,9.67,-105.5,38.8,220.17,-107.83,102,-12,L,216,0,0,0
842,away,53.0,123.2,54.1,3.08,-109.67,56.4,219.83,-109.17,113,12,W,214,1,0,1
843,home,47.0,-139.8,45.9,-3.08,-105.33,43.6,219.83,-105.83,101,-12,L,214,0,0,0
844,away,44.4,157.2,48.5,4.17,-108.17,34.1,194.92,-108.67,100,3,W,197,1,1,1
845,home,55.6,-174.6,51.5,-4.17,-107.67,65.9,194.92,-107.5,97,-3,L,197,0,1,0
846,away,51.8,-129.8,49.8,-1.92,-109.17,60.6,217.42,-107.33,98,-11,L,207,0,0,0
847,home,48.2,113.4,50.2,1.92,-105.83,39.4,217.42,-107.67,109,11,W,207,1,0,1
848,away,48.2,-121.6,45.0,-1.83,-108.5,54.9,216.0,-109.0,122,-6,L,250,0,1,0
849,home,51.8,105.4,55.0,1.83,-106.5,45.1,216.0,-105.0,128,6,W,250,1,1,1
850,away,61.3,-324.4,57.5,-7.5,-106.67,55.7,236.1,-108.0,130,5,W,255,0,1,1
851,home,38.7,272.0,42.5,7.5,-108.33,44.3,236.1,-106.0,125,-5,L,255,1,1,0
852,away,41.9,-245.0,52.5,-5.92,-106.67,51.1,210.0,-107.17,89,-7,L,185,0,0,0
853,home,58.1,211.8,47.5,5.92,-108.33,48.9,210.0,-107.83,96,7,W,185,1,0,1
854,away,61.3,-117.6,57.2,-1.0,-106.33,54.9,226.67,-108.33,128,28,W,228,1,1,1
855,home,38.7,21.6,42.8,1.0,-108.67,45.1,226.67,-106.67,100,-28,L,228,0,1,0
856,away,58.6,-132.4,52.3,-2.25,-105.0,57.0,214.5,-107.6,104,-9,L,217,0,1,0
857,home,41.4,116.2,47.7,2.25,-110.0,43.0,214.5,-106.4,113,9,W,217,1,1,1
858,away,50.8,-201.6,56.2,-4.67,-107.17,53.2,202.0,-109.33,105,8,W,202,1,0,1
859,home,49.2,176.8,43.8,4.67,-107.83,46.8,202.0,-105.67,97,-8,L,202,0,0,0
860,away,34.0,426.6,42.4,9.8,-106.6,51.6,212.5,-107.5,98,5,W,191,1,0,1
861,home,66.0,-538.8,57.6,-9.8,-107.4,48.4,212.5,-107.5,93,-5,L,191,0,0,0
862,away,51.5,222.8,44.3,6.33,-108.5,57.0,223.08,-108.5,104,-6,L,214,1,0,0
863,home,48.5,-260.6,55.7,-6.33,-106.5,43.0,223.08,-106.5,110,6,W,214,0,0,1
